frequency;V(Vout) (phase);V(Vout) (gain);
1698.24;85.0642;25.1076;
1737.8;84.4769;24.8997;
1778.28;83.8877;24.6908;
1819.7;83.2966;24.481;
1862.09;82.7034;24.2702;
1905.46;82.1079;24.0584;
1949.84;81.51;23.8457;
1995.26;80.9094;23.6319;
2041.74;80.306;23.4171;
2089.3;79.6998;23.2012;
2137.96;79.0904;22.9842;
2187.76;78.4779;22.7662;
2238.72;77.862;22.547;
2290.87;77.2427;22.3267;
2344.23;76.6198;22.1052;
2398.83;75.9932;21.8824;
2454.71;75.3628;21.6585;
2511.89;74.7286;21.4333;
2570.4;74.0903;21.2068;
2630.27;73.4481;20.979;
2691.53;72.8017;20.7498;
2754.23;72.1512;20.5192;
2818.38;71.4964;20.2872;
2884.03;70.8374;20.0537;
2951.21;70.1741;19.8188;
3019.95;69.5066;19.5823;
3090.3;68.8347;19.3443;
3162.28;68.1586;19.1046;
3235.94;67.4782;18.8634;
3311.31;66.7936;18.6204;
3388.44;66.1049;18.3758;
3467.37;65.412;18.1294;
3548.13;64.7152;17.8812;
3630.78;64.0143;17.6312;
3715.35;63.3097;17.3793;
3801.89;62.6013;17.1256;
3890.45;61.8893;16.8699;
3981.07;61.1738;16.6123;
4073.8;60.455;16.3527;
4168.69;59.7331;16.091;
4265.8;59.0083;15.8273;
4365.16;58.2807;15.5615;
4466.84;57.5505;15.2936;
4570.88;56.818;15.0236;
4677.35;56.0833;14.7513;
4786.3;55.3468;14.4769;
4897.79;54.6087;14.2003;
5011.87;53.8691;13.9214;
5128.61;53.1285;13.6403;
5248.07;52.387;13.3569;
5370.32;51.645;13.0713;
5495.41;50.9027;12.7833;
5623.41;50.1604;12.493;
5754.4;49.4185;12.2004;
5888.44;48.6772;11.9054;
6025.6;47.9368;11.6082;
6165.95;47.1977;11.3086;
6309.57;46.4601;11.0067;
6456.54;45.7244;10.7025;
6606.93;44.9909;10.3959;
6760.83;44.2598;10.087;
6918.31;43.5315;9.77588;
7079.46;42.8063;9.46244;
7244.36;42.0844;9.14672;
7413.1;41.3662;8.82876;
7585.78;40.6519;8.50856;
7762.47;39.9419;8.18616;
7943.28;39.2364;7.86156;
8128.31;38.5356;7.53481;
8317.64;37.8398;7.20592;
8511.38;37.1492;6.87493;
8709.64;36.4642;6.54186;
8912.51;35.7848;6.20675;
9120.11;35.1114;5.86963;
9332.54;34.4441;5.53054;
9549.93;33.7831;5.18951;
9772.37;33.1285;4.84657;
10000;32.4807;4.50178;
10232.9;31.8396;4.15515;
10471.3;31.2055;3.80675;
10715.2;30.5785;3.45659;
10964.8;29.9586;3.10473;
11220.2;29.3461;2.75121;
11481.5;28.741;2.39606;
11749;28.1433;2.03932;
12022.6;27.5533;1.68105;
12302.7;26.9708;1.32127;
12589.3;26.396;0.960036;
12882.5;25.8289;0.597381;
13182.6;25.2695;0.233348;
13489.6;24.7179;-0.132023;
13803.8;24.1741;-0.498692;
14125.4;23.638;-0.86662;
14454.4;23.1097;-1.23577;
14791.1;22.5892;-1.60609;
15135.6;22.0763;-1.97757;
15488.2;21.5711;-2.35014;
15848.9;21.0735;-2.72379;
16218.1;20.5836;-3.09847;
16595.9;20.1011;-3.47414;
16982.4;19.6262;-3.85079;
17378;19.1586;-4.22836;
17782.8;18.6984;-4.60682;
18197;18.2454;-4.98616;
18620.9;17.7996;-5.36632;
19054.6;17.3609;-5.74729;
19498.4;16.9291;-6.12903;
19952.6;16.5043;-6.51152;
20417.4;16.0862;-6.89472;
20893;15.6748;-7.27862;
21379.6;15.27;-7.66317;
21877.6;14.8717;-8.04836;
22387.2;14.4798;-8.43417;
22908.7;14.094;-8.82056;
23442.3;13.7145;-9.20751;
23988.3;13.3409;-9.59501;
24547.1;12.9732;-9.98303;
25118.9;12.6113;-10.3715;
25704;12.255;-10.7605;
26302.7;11.9043;-11.15;
26915.3;11.5589;-11.5399;
27542.3;11.2188;-11.9302;
28183.8;10.8839;-12.3209;
28840.3;10.554;-12.712;
29512.1;10.229;-13.1035;
30199.5;9.90876;-13.4953;
30903;9.59315;-13.8875;
31622.8;9.28206;-14.28;
32359.4;8.97534;-14.6728;
33113.1;8.67288;-15.0659;
33884.4;8.37455;-15.4593;
34673.7;8.08021;-15.8529;
35481.3;7.78975;-16.2468;
36307.8;7.50303;-16.641;
37153.5;7.21994;-17.0354;
38018.9;6.94033;-17.43;
38904.5;6.66409;-17.8248;
39810.7;6.39109;-18.2199;
40738;6.1212;-18.6151;
41686.9;5.85431;-19.0105;
42658;5.59028;-19.4061;
43651.6;5.32899;-19.8018;
44668.4;5.07033;-20.1977;
45708.8;4.81416;-20.5937;
46773.5;4.56036;-20.9899;
47863;4.30882;-21.3862;
48977.9;4.0594;-21.7827;
50118.7;3.812;-22.1793;
51286.1;3.56648;-22.5759;
52480.7;3.32273;-22.9727;
53703.2;3.08063;-23.3696;
54954.1;2.84006;-23.7666;
56234.1;2.6009;-24.1636;
57544;2.36303;-24.5607;
58884.4;2.12633;-24.9579;
60256;1.89068;-25.3552;
61659.5;1.65597;-25.7525;
63095.7;1.42208;-26.1499;
64565.4;1.18889;-26.5474;
66069.3;0.956276;-26.9449;
67608.3;0.724131;-27.3424;
69183.1;0.492332;-27.7399;
70794.6;0.260763;-28.1375;
72443.6;0.0293051;-28.5352;
74131;-0.202158;-28.9328;
75857.8;-0.433745;-29.3304;
77624.7;-0.665573;-29.7281;
79432.8;-0.897761;-30.1258;
81283.1;-1.13043;-30.5234;
83176.4;-1.36369;-30.9211;
85113.8;-1.59766;-31.3188;
87096.4;-1.83248;-31.7164;
89125.1;-2.06824;-32.114;
91201.1;-2.30508;-32.5116;
93325.4;-2.54311;-32.9092;
95499.3;-2.78246;-33.3067;
97723.7;-3.02325;-33.7042;
100000;-3.26559;-34.1017;
102329;-3.50962;-34.4991;
104713;-3.75545;-34.8964;
107152;-4.00321;-35.2937;
109648;-4.25303;-35.6909;
112202;-4.50502;-36.0881;
114815;-4.75932;-36.4852;
117490;-5.01606;-36.8822;
120226;-5.27536;-37.2791;
123027;-5.53734;-37.6759;
125893;-5.80215;-38.0726;
128825;-6.06992;-38.4692;
131826;-6.34076;-38.8657;
134896;-6.61483;-39.2621;
138038;-6.89225;-39.6583;
141254;-7.17315;-40.0544;
144544;-7.45768;-40.4504;
147911;-7.74597;-40.8462;
151356;-8.03816;-41.2418;
154882;-8.33439;-41.6373;
158489;-8.6348;-42.0326;
162181;-8.93954;-42.4278;
165959;-9.24875;-42.8227;
169824;-9.56256;-43.2174;
173780;-9.88114;-43.6119;
177828;-10.2046;-44.0062;
181970;-10.5332;-44.4003;
186209;-10.8669;-44.7941;
190546;-11.206;-45.1877;
194984;-11.5506;-45.5809;
199526;-11.9009;-45.974;
204174;-12.257;-46.3667;
208930;-12.6191;-46.7591;
213796;-12.9873;-47.1512;
218776;-13.3617;-47.543;
223872;-13.7427;-47.9344;
229087;-14.1302;-48.3255;
234423;-14.5245;-48.7162;
239883;-14.9258;-49.1065;
245471;-15.3341;-49.4964;
251189;-15.7498;-49.8859;
257040;-16.1728;-50.275;
263027;-16.6034;-50.6636;
269153;-17.0418;-51.0517;
275423;-17.4882;-51.4394;
281838;-17.9426;-51.8265;
288403;-18.4053;-52.2132;
295121;-18.8764;-52.5993;
301995;-19.3562;-52.9848;
309030;-19.8447;-53.3698;
316228;-20.3422;-53.7542;
323594;-20.8488;-54.138;
331131;-21.3647;-54.5211;
338844;-21.8901;-54.9036;
346737;-22.4252;-55.2854;
354813;-22.9701;-55.6666;
363078;-23.5249;-56.047;
371535;-24.09;-56.4267;
380189;-24.6654;-56.8057;
389045;-25.2514;-57.1839;
398107;-25.848;-57.5614;
407380;-26.4556;-57.9381;
416869;-27.0743;-58.3139;
426580;-27.7043;-58.6889;
436516;-28.3457;-59.0632;
446684;-28.9988;-59.4365;
457088;-29.6638;-59.809;
467735;-30.3408;-60.1807;
478630;-31.0301;-60.5515;
489779;-31.7319;-60.9214;
501187;-32.4464;-61.2904;
512861;-33.1739;-61.6586;
524807;-33.9146;-62.0259;
537032;-34.6687;-62.3924;
549541;-35.4365;-62.758;
562341;-36.2183;-63.1228;
575440;-37.0145;-63.4867;
588844;-37.8252;-63.8499;
602560;-38.6509;-64.2123;
616595;-39.4919;-64.574;
630957;-40.3487;-64.9351;
645654;-41.2216;-65.2955;
660693;-42.1111;-65.6553;
676083;-43.0177;-66.0146;
691831;-43.942;-66.3735;
707946;-44.8845;-66.732;
724436;-45.846;-67.0903;
741310;-46.8271;-67.4484;
758578;-47.8287;-67.8065;
776247;-48.8516;-68.1647;
794328;-49.8968;-68.5231;
812831;-50.9654;-68.8818;
831764;-52.0586;-69.2412;
851138;-53.1776;-69.6012;
870964;-54.324;-69.9622;
891251;-55.4994;-70.3243;
912011;-56.7055;-70.6879;
933254;-57.9446;-71.0531;
954993;-59.2187;-71.4202;
977237;-60.5305;-71.7896;
1e+06;-61.8827;-72.1615;
